Date,BLL,DISH,DVA,NEM,UDR,VFC
12/21/2012,20.73441505,35.54999924,55.96500015,37.49307632,17.40137672,28.73686981
12/24/2012,20.83623505,35.13999939,55.59500122,37.1987114,17.42329407,28.729209899999997
12/26/2012,20.78532028,34.93999863,55.04499817,37.91357422,17.21874237,28.3367424
12/27/2012,20.66036224,35.81000137,54.96500015,38.24158478,17.35754776,28.746444699999998
12/28/2012,20.49837685,35.43000031,54.88000107,37.87153244,17.22605324,28.39034462
12/31/2012,20.71127129,36.40000153,55.26499939,39.05737686,17.37215424,28.90343475
1/2/2013,21.31293488,36.95999908,54.59999847,39.44425583,17.47443771,28.78665733
1/3/2013,21.49344254,36.93000031,54.96500015,38.36774063,17.51095772,29.060424800000003
1/4/2013,21.52121162,36.88999939,54.91999817,38.63686371,17.52557564,29.44714546
1/7/2013,21.33144951,36.34000015,54.14500046,37.85470963,17.64245415,28.59902573
1/8/2013,21.01673698,35.97000122,54.83499908,38.31728363,17.71618271,28.58178711
1/9/2013,21.10930252,36.84999847,54.81999969,37.7621994,17.91523743,28.2773838
1/10/2013,21.10930252,36.95000076,54.84000015,38.64528275,17.98896217,28.89385986
1/11/2013,21.01210785,36.20999908,54.59999847,38.48548508,17.98159409,28.52627182
1/14/2013,21.10003662,36.70999908,54.74000168,38.09861374,18.07743263,29.46055794
1/15/2013,21.1833477,37.06000137,55.15499878,38.00608444,18.17328072,29.46247101
1/16/2013,21.06301689,37.34999847,56.06000137,37.63605118,18.21014023,29.27293968
1/17/2013,21.43327522,37.75,56.32500076,37.37533188,18.18802071,28.93407249
1/18/2013,21.59062958,37.91999817,56.61500168,37.75379562,18.15115738,28.32333183
1/22/2013,21.53972816,37.5,57.36000061,38.33410263,18.15115738,28.50522232
1/23/2013,21.53046608,37.24000168,56.95999908,37.64446259,18.26912308,28.86322975
1/24/2013,21.53046608,36.63000107,57.16500092,37.01369095,18.22488594,27.90979958
1/25/2013,21.57211876,37.72999954,57.26499939,36.4670105,18.25437546,28.52053452
